"All test cases below should be initiated with the following initial conditions:
,,,Click on the download icon on the toolbar,,The file is downloaded successfully,,,
CFTP.FILEMANAGER.SHARE.027,Verify unable to cut the Share without password file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is public,,Cut icon is enabled on the toolbar,,,
,,,Click on the Cut icon on the toolbar,,"An Error is shown: ""Files cannot be moved out of the Shared folder. Use copy instead.""",,,
,,,Click on the OK button,,The Error is closed,,,
CFTP.FILEMANAGER.SHARE.028,Verify able to copy the Share without password file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is public,,Copy icon is enabled on the toolbar,,,
,,,Click on the Copy icon on the toolbar,,"""1 item copied"" is shown on the toolbar",,,
,,,"Go to any available folder, paste the file",,The copied file is pasted,,,
CFTP.FILEMANAGER.SHARE.029,Verify able to delete the Share without password file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is public,,Delete icon is enabled on the toolbar,,,
,,,Click on the Delete icon,,"""Remove Share"" form appears ",,,
,,,Click on the OK button,,"The file is deleted, no longer in the list",,,
CFTP.FILEMANAGER.SHARE.030,Verify able to download the Share with password file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is Password Protected,,Download icon is enabled on the toolbar,,,
,,,Click on the download icon on the toolbar,,The file is downloaded successfully,,,
CFTP.FILEMANAGER.SHARE.031,Verify unable to cut the Share with password file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is Password Protected,,Cut icon is enabled on the toolbar,,,
,,,Click on the Cut icon on the toolbar,,"An Error is shown: ""Files cannot be moved out of the Shared folder. Use copy instead.""",,,
,,,Click on the OK button,,The Error is closed,,,
CFTP.FILEMANAGER.SHARE.032,Verify able to copy the Share with password file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is Password Protected,,Copy icon is enabled on the toolbar,,,
,,,Click on the Copy icon on the toolbar,,"""1 item copied"" is shown on the toolbar",,,
,,,"Go to any available folder, paste the file",,The copied file is pasted,,,
CFTP.FILEMANAGER.SHARE.033,Verify able to delete the Share with password file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is Password Protected,,Delete icon is enabled on the toolbar,,,
,,,Click on the Delete icon,,"""Remove Share"" form appears ",,,
,,,Click on the OK button,,"The file is deleted, no longer in the list",,,
CFTP.FILEMANAGER.SHARE.034,Verify able to download the Stopped Sharing file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is Stopped,,Download icon is enabled on the toolbar,,,
,,,Click on the download icon on the toolbar,,The file is downloaded successfully,,,
CFTP.FILEMANAGER.SHARE.035,Verify unable to cut the Stopped Sharing file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is Stopped,,Cut icon is enabled on the toolbar,,,
,,,Click on the Cut icon on the toolbar,,"An Error is shown: ""Files cannot be moved out of the Shared folder. Use copy instead.""",,,
,,,Click on the OK button,,The Error is closed,,,
CFTP.FILEMANAGER.SHARE.036,Verify able to copy the Stopped Sharing file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is Stopped,,Copy icon is enabled on the toolbar,,,
,,,Click on the Copy icon on the toolbar,,"""1 item copied"" is shown on the toolbar",,,
,,,"Go to any available folder, paste the file",,The copied file is pasted,,,
CFTP.FILEMANAGER.SHARE.037,Verify able to delete the Stopped Sharing file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is Stopped,,Delete icon is enabled on the toolbar,,,
,,,Click on the Delete icon,,"""Remove Share"" form appears ",,,
,,,Click on the OK button,,"The file is deleted, no longer in the list",,,
Multiple files,,,,,,,,
CFTP.FILEMANAGER.SHARE.038,Verify able to copy link for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Copy Link option,,The Copy Link form appears: 2 links copied to clipboard!,,,
,,,Click on the OK button,,The Copy Link for closed,,,
